,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Day,Month,Dep_Hour
1865,SpiceJet,Kolkata,Banglore,155,0,No check-in baggage included,3841,1,5,7
1866,Air India,Delhi,Cochin,1490,2,No info,13381,3,6,7
1867,Multiple carriers,Delhi,Cochin,840,1,No info,15078,9,5,11
1868,Air India,Kolkata,Banglore,545,1,No info,8891,9,5,9
1869,Jet Airways,Kolkata,Banglore,1200,1,In-flight meal not included,7757,9,5,14
1870,Air India,Banglore,Delhi,180,0,No info,4441,9,4,6
1871,Jet Airways,Kolkata,Banglore,1345,1,In-flight meal not included,10031,24,3,20
1872,IndiGo,Banglore,Delhi,170,0,No info,4823,12,4,13
1873,Air India,Kolkata,Banglore,545,1,No info,8576,24,5,9
1874,Jet Airways,Banglore,New Delhi,1175,1,In-flight meal not included,11087,12,3,21
1875,Jet Airways,Delhi,Cochin,1595,1,In-flight meal not included,12373,18,5,10
1876,Air India,Kolkata,Banglore,1210,2,No info,11432,21,5,9
1877,IndiGo,Mumbai,Hyderabad,90,0,No info,3175,15,6,17
1878,IndiGo,Kolkata,Banglore,165,0,No info,4804,12,5,10
1879,Jet Airways,Delhi,Cochin,1615,2,No info,13014,27,6,10
1880,Multiple carriers,Delhi,Cochin,910,1,In-flight meal not included,7563,6,3,7
1881,SpiceJet,Kolkata,Banglore,145,0,No info,3873,27,6,9
1882,IndiGo,Delhi,Cochin,780,1,No info,6282,21,5,12
1883,Multiple carriers,Delhi,Cochin,630,1,No info,11200,1,6,8
1884,Vistara,Banglore,Delhi,165,0,No info,5613,24,4,19
1885,IndiGo,Delhi,Cochin,195,0,No info,5601,9,6,14
1886,Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,10262,15,6,14
1887,IndiGo,Banglore,New Delhi,175,0,No info,14306,1,3,20
1888,Jet Airways,Kolkata,Banglore,1485,1,In-flight meal not included,7064,1,4,20
1889,Jet Airways,Delhi,Cochin,715,1,No info,18371,27,6,7
1890,Air India,Delhi,Cochin,1380,2,No info,13591,18,5,20
1892,Multiple carriers,Delhi,Cochin,460,2,No info,18275,12,6,18
1893,IndiGo,Banglore,Delhi,170,0,No info,3749,27,5,22
1894,Air Asia,Kolkata,Banglore,500,2,No info,6810,6,6,15
1895,Multiple carriers,Delhi,Cochin,560,1,No info,7485,21,5,12
1896,Air India,Kolkata,Banglore,150,0,No info,5510,27,5,14
1897,Jet Airways,Delhi,Cochin,610,1,In-flight meal not included,10262,3,6,18
1898,Multiple carriers,Delhi,Cochin,540,1,No info,6723,24,6,7
1899,Multiple carriers,Delhi,Cochin,450,1,No info,8307,21,3,8
1900,GoAir,Delhi,Cochin,460,1,No info,6146,21,4,6
1901,Jet Airways,Delhi,Cochin,1390,2,No info,15129,27,5,13
1902,Jet Airways,Kolkata,Banglore,330,1,No info,14388,1,5,6
1903,Jet Airways,Banglore,Delhi,165,0,In-flight meal not included,4544,6,4,6
1904,Jet Airways,Banglore,Delhi,175,0,In-flight meal not included,5198,12,4,11
1905,IndiGo,Delhi,Cochin,975,1,No info,7503,18,5,9
1906,GoAir,Banglore,New Delhi,270,1,No info,12314,1,3,16
1907,Air India,Delhi,Cochin,375,1,No info,8372,15,5,13
1908,Jet Airways,Kolkata,Banglore,425,1,No info,14781,21,5,16
1909,Jet Airways,Banglore,Delhi,180,0,No info,8016,24,6,20
1910,IndiGo,Chennai,Kolkata,140,0,No info,6297,12,3,8
1911,Jet Airways,Kolkata,Banglore,1495,1,No info,14388,1,5,8
1912,GoAir,Delhi,Cochin,370,1,No info,6393,1,6,7
1913,Jet Airways,Kolkata,Banglore,775,1,No info,14939,9,6,21
1914,Jet Airways,Kolkata,Banglore,685,1,No info,14781,21,5,8
1915,IndiGo,Delhi,Cochin,810,1,No info,14871,6,3,7
1916,SpiceJet,Banglore,Delhi,170,0,No check-in baggage included,4319,6,4,9
1917,Jet Airways,Kolkata,Banglore,1005,1,No info,13067,15,5,17
1918,Jet Airways,Banglore,New Delhi,920,1,No info,26890,1,3,17
1919,Jet Airways,Banglore,New Delhi,375,1,In-flight meal not included,9134,15,3,7
1920,IndiGo,Banglore,Delhi,180,0,No info,3943,3,4,21
1921,Air India,Delhi,Cochin,735,1,No info,8879,24,6,7
1922,Jet Airways,Kolkata,Banglore,1025,1,No info,14571,24,5,19
1923,IndiGo,Kolkata,Banglore,155,0,No info,5644,15,6,10
1924,Jet Airways,Kolkata,Banglore,1330,1,In-flight meal not included,9663,9,6,6
1925,Jet Airways,Kolkata,Banglore,570,1,No info,14571,9,6,14
1926,SpiceJet,Banglore,Delhi,175,0,No info,3971,9,6,21
1927,Jet Airways,Delhi,Cochin,590,1,No info,17024,6,3,9
1928,SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3841,15,5,17
1929,Jet Airways,Delhi,Cochin,1395,1,In-flight meal not included,12898,27,5,20
1930,Jet Airways,Delhi,Cochin,830,2,No info,13376,6,6,15
1931,Jet Airways,Delhi,Cochin,910,2,In-flight meal not included,9905,15,6,21
1932,Multiple carriers,Delhi,Cochin,780,1,No info,13587,15,6,8
1933,Multiple carriers,Delhi,Cochin,900,1,No info,7740,24,6,6
1934,Multiple carriers,Delhi,Cochin,395,1,No info,9794,21,5,6
1935,Jet Airways,Banglore,New Delhi,1350,1,No info,17471,6,3,23
1936,Jet Airways,Delhi,Cochin,880,2,In-flight meal not included,15129,9,3,14
1937,Jet Airways,Kolkata,Banglore,1730,1,No info,11467,1,5,10
1938,Air India,Kolkata,Banglore,1440,1,No info,6528,12,6,15
1939,Multiple carriers,Delhi,Cochin,705,1,No info,8266,27,6,7
1940,IndiGo,Delhi,Cochin,940,1,No info,6442,6,3,7
1941,Jet Airways,Delhi,Cochin,825,1,In-flight meal not included,10262,12,6,23
1942,Jet Airways,Mumbai,Hyderabad,85,0,No info,17501,1,3,7
1943,Air India,Banglore,Delhi,165,0,No info,8273,24,5,6
1944,Air India,Delhi,Cochin,1485,2,No info,10703,21,3,18
1945,Multiple carriers,Delhi,Cochin,930,1,No info,8510,15,6,10
1946,IndiGo,Mumbai,Hyderabad,90,0,No info,2754,15,3,20
1947,IndiGo,Mumbai,Hyderabad,90,0,No info,2227,18,5,21
1948,Multiple carriers,Delhi,Cochin,460,2,No info,18275,27,6,18
1949,SpiceJet,Delhi,Cochin,270,1,No check-in baggage included,6356,21,4,9
1950,Jet Airways,Kolkata,Banglore,400,1,No info,14781,15,5,14
1951,Jet Airways,Delhi,Cochin,1615,2,In-flight meal not included,13029,27,5,10
1952,GoAir,Banglore,Delhi,170,0,No info,4340,1,5,12
1953,Air India,Kolkata,Banglore,1215,2,No info,12224,12,6,17
1954,Jet Airways,Kolkata,Banglore,1545,1,In-flight meal not included,10844,24,5,16
1955,IndiGo,Kolkata,Banglore,165,0,No info,4174,15,4,10
1956,Air India,Banglore,New Delhi,1795,2,No info,14887,1,3,17
1957,Multiple carriers,Delhi,Cochin,615,1,No info,12853,9,4,9
1958,Air Asia,Banglore,Delhi,165,0,No info,3383,15,5,11
1959,GoAir,Banglore,New Delhi,175,0,No info,11111,1,3,12
1960,Jet Airways,Banglore,Delhi,180,0,No info,7229,1,4,18
1961,Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,4030,6,5,18
1962,IndiGo,Delhi,Cochin,635,1,No info,14871,3,3,15
1963,Jet Airways,Delhi,Cochin,520,1,In-flight meal not included,12898,27,5,20
1964,Multiple carriers,Delhi,Cochin,465,1,No info,14533,18,5,11
1965,Air India,Delhi,Cochin,875,1,No info,7258,6,6,18
1966,SpiceJet,Delhi,Cochin,270,1,No info,4812,1,4,9
1967,Jet Airways,Kolkata,Banglore,690,1,In-flight meal not included,12384,9,5,10
1968,Air India,Delhi,Cochin,1180,2,No info,8603,6,6,12
1969,Air India,Delhi,Cochin,435,2,No info,8603,6,6,12
1970,Jet Airways,Kolkata,Banglore,570,1,No info,14231,24,3,14
1972,Air Asia,Delhi,Cochin,625,1,No info,11410,1,6,21
1973,Air India,Banglore,New Delhi,1475,2,No info,12725,12,3,9
1974,Jet Airways,Delhi,Cochin,1620,2,No info,13292,9,6,10
1975,SpiceJet,Kolkata,Banglore,155,0,No info,3873,24,4,7
1976,IndiGo,Chennai,Kolkata,140,0,No info,3850,15,6,8
1977,SpiceJet,Kolkata,Banglore,435,1,No info,8479,9,6,12
1978,Jet Airways,Kolkata,Banglore,840,1,No info,14151,24,5,10
1979,Air India,Banglore,Delhi,165,0,No info,5228,24,4,6
1980,Vistara,Kolkata,Banglore,1555,1,No info,9397,9,6,7
1981,Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,4995,18,6,7
1983,Air Asia,Banglore,Delhi,170,0,No info,4282,3,4,5
1984,Air India,Kolkata,Banglore,810,2,No info,10697,21,5,8
1985,Jet Airways,Kolkata,Banglore,1730,1,In-flight meal not included,9314,21,5,10
1986,IndiGo,Chennai,Kolkata,145,0,No info,3540,27,6,5
1987,Air India,Delhi,Cochin,1595,2,No info,9443,12,6,17
1988,Multiple carriers,Delhi,Cochin,480,1,No info,15147,6,3,7
1989,Jet Airways,Banglore,Delhi,180,0,No info,8016,27,6,8
1990,IndiGo,Mumbai,Hyderabad,90,0,No info,2437,24,5,21
1991,IndiGo,Delhi,Cochin,895,1,No info,6104,27,5,11
1992,SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,1965,6,6,23
1993,Multiple carriers,Delhi,Cochin,480,1,No info,7408,12,6,13
1994,IndiGo,Mumbai,Hyderabad,90,0,No info,4049,18,6,6
1995,Jet Airways,Banglore,Delhi,180,0,No info,8016,1,6,20
1996,Multiple carriers,Delhi,Cochin,720,1,No info,10197,9,5,7
1997,Jet Airways,Kolkata,Banglore,665,1,In-flight meal not included,10844,1,5,21
1998,Jet Airways,Kolkata,Banglore,1570,1,No info,12692,9,6,17
1999,Jet Airways,Kolkata,Banglore,475,1,No info,14781,6,5,8
2000,GoAir,Kolkata,Banglore,495,1,No info,7335,24,5,23
2001,Jet Airways,Banglore,Delhi,180,0,No info,7229,27,5,8
2002,Vistara,Banglore,New Delhi,175,0,No info,4353,24,3,21
2003,Jet Airways,Kolkata,Banglore,735,1,No info,13941,18,5,20
2004,Jet Airways,Banglore,New Delhi,280,1,No info,12295,12,3,10
2005,Jet Airways,Delhi,Cochin,825,1,In-flight meal not included,12898,27,5,23
2006,Vistara,Kolkata,Banglore,930,1,No info,7927,9,5,7
2007,Air Asia,Banglore,Delhi,170,0,No info,4483,15,4,0
2008,Jet Airways,Banglore,New Delhi,405,1,No info,19225,6,3,12
2009,GoAir,Delhi,Cochin,370,1,No info,4692,24,4,7
2010,Jet Airways,Banglore,New Delhi,725,1,No info,13555,18,3,21
2011,IndiGo,Delhi,Cochin,630,1,No info,6270,9,4,15
2012,Jet Airways,Kolkata,Banglore,1285,1,No info,13584,6,5,19
2013,Jet Airways,Delhi,Cochin,1600,2,No info,13180,21,3,16
2014,Jet Airways,Kolkata,Banglore,1295,1,No info,14151,12,5,20
2015,Vistara,Delhi,Cochin,190,0,No info,6216,12,5,6
2016,Multiple carriers,Delhi,Cochin,680,1,No info,15135,3,3,7
2017,Multiple carriers,Delhi,Cochin,570,1,In-flight meal not included,15136,6,3,11
2018,Jet Airways,Delhi,Cochin,1005,1,In-flight meal not included,10262,27,6,2
2019,Jet Airways,Kolkata,Banglore,750,1,In-flight meal not included,12384,18,5,10
2020,Jet Airways,Kolkata,Banglore,575,1,In-flight meal not included,9314,1,4,10
2021,Jet Airways,Kolkata,Banglore,1500,1,In-flight meal not included,9314,6,5,17
2022,Air India,Delhi,Cochin,615,1,No info,10454,1,6,9
2023,Air India,Delhi,Cochin,520,1,No info,8372,18,5,23
2024,Jet Airways,Delhi,Cochin,520,1,In-flight meal not included,11848,9,3,20
2025,IndiGo,Delhi,Cochin,750,1,No info,6416,1,6,8
2026,IndiGo,Mumbai,Hyderabad,90,0,No info,3342,1,4,9
2027,Jet Airways,Kolkata,Banglore,1495,2,In-flight meal not included,10118,6,6,6
2028,Air India,Kolkata,Banglore,1185,2,No info,14960,12,6,17
2029,IndiGo,Delhi,Cochin,665,1,No info,6818,15,6,5
2030,Air India,Kolkata,Banglore,150,0,No info,5510,12,6,14
2031,Jet Airways,Kolkata,Banglore,1610,1,No info,14388,21,5,6
2032,Multiple carriers,Delhi,Cochin,455,1,No info,7038,3,6,15
2033,Multiple carriers,Delhi,Cochin,630,1,No info,8266,9,5,9
2034,Jet Airways,Delhi,Cochin,1480,2,No info,14300,27,6,18
2035,Air India,Kolkata,Banglore,1350,1,No info,8366,9,5,9
2036,Jet Airways,Banglore,New Delhi,695,1,No info,17261,6,3,23
2037,Vistara,Kolkata,Banglore,1555,1,No info,8452,6,6,7
2038,IndiGo,Kolkata,Banglore,320,1,No info,8567,1,4,15
2039,Multiple carriers,Delhi,Cochin,925,1,No info,9646,15,6,7
2040,Air India,Delhi,Cochin,1275,2,No info,8341,9,4,22
2041,Jet Airways,Delhi,Cochin,1530,1,In-flight meal not included,12373,9,5,17
2042,SpiceJet,Chennai,Kolkata,140,0,No check-in baggage included,3543,21,6,18
2043,Jet Airways,Kolkata,Banglore,395,1,In-flight meal not included,13994,9,6,17
2044,IndiGo,Banglore,New Delhi,170,0,No info,4777,24,3,4
2045,Multiple carriers,Delhi,Cochin,455,1,No info,7038,1,6,15
2046,IndiGo,Mumbai,Hyderabad,90,0,No info,3175,3,4,17
2047,Multiple carriers,Delhi,Cochin,660,1,No info,7408,9,6,10
2048,IndiGo,Banglore,Delhi,180,0,No info,3943,15,6,21
2049,Jet Airways,Delhi,Cochin,1225,1,No info,15974,6,3,8
2050,SpiceJet,Kolkata,Banglore,155,0,No info,3873,27,5,7
2051,IndiGo,Banglore,Delhi,170,0,No info,4423,15,4,10
2052,Jet Airways,Delhi,Cochin,1125,2,No info,15129,27,5,10
2053,IndiGo,Delhi,Cochin,755,1,No info,8285,21,3,8
2054,Air India,Mumbai,Hyderabad,80,0,No info,3100,6,6,6
2055,Air India,Banglore,New Delhi,1475,2,No info,25430,1,3,9
2056,SpiceJet,Mumbai,Hyderabad,80,0,No check-in baggage included,2385,18,3,13
2057,Jet Airways,Kolkata,Banglore,435,1,No info,11316,6,6,10
2058,Jet Airways,Delhi,Cochin,1005,1,In-flight meal not included,10262,15,6,2
2059,Air India,Kolkata,Banglore,445,2,No info,7662,24,5,6
2060,Jet Airways,Kolkata,Banglore,1605,1,No info,14231,24,3,17
2061,IndiGo,Delhi,Cochin,705,1,No info,6838,9,6,9
2062,Jet Airways,Delhi,Cochin,1300,2,No info,13376,15,6,7
2063,Jet Airways,Delhi,Cochin,1680,1,In-flight meal not included,10262,24,6,15
2064,IndiGo,Delhi,Cochin,480,1,No info,8574,27,3,7
2065,Jet Airways,Banglore,New Delhi,615,1,In-flight meal not included,7832,9,3,21
2066,Multiple carriers,Delhi,Cochin,910,1,No info,12192,24,6,4
2067,Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,4050,15,6,10
2068,GoAir,Banglore,Delhi,175,0,No info,6722,12,4,8
2069,Jet Airways,Kolkata,Banglore,1220,1,In-flight meal not included,10844,9,6,20
2070,Multiple carriers,Delhi,Cochin,840,1,No info,7408,15,6,7
2071,Jet Airways,Delhi,Cochin,455,1,No info,14189,21,3,21
2072,SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3841,24,5,17
2073,Jet Airways,Kolkata,Banglore,875,1,In-flight meal not included,8586,9,5,14
2074,Multiple carriers,Delhi,Cochin,520,1,No info,7155,27,6,11
2075,Jet Airways,Kolkata,Banglore,590,1,In-flight meal not included,9899,12,6,8
2076,Jet Airways,Kolkata,Banglore,685,1,No info,14571,6,6,8
2077,IndiGo,Banglore,Delhi,175,0,No info,4823,18,5,19
2078,Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,4544,9,5,8
2079,Air India,Banglore,New Delhi,1200,1,1 Long layover,14752,1,3,0
2080,Air India,Kolkata,Banglore,1700,2,No info,11542,9,5,9
2081,Jet Airways,Delhi,Cochin,195,0,In-flight meal not included,7202,21,5,10
2082,Multiple carriers,Delhi,Cochin,505,1,No info,11098,9,6,11
2083,Air India,Mumbai,Hyderabad,75,0,No info,2575,27,3,19
2084,Multiple carriers,Delhi,Cochin,755,1,No info,6673,27,3,13
2085,IndiGo,Banglore,New Delhi,170,0,No info,14306,1,3,19
2086,Jet Airways,Delhi,Cochin,395,1,No info,15554,18,5,22
2087,Jet Airways,Kolkata,Banglore,1730,1,In-flight meal not included,9314,15,5,10
2088,Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,4995,9,3,6
2089,Jet Airways,Banglore,New Delhi,1200,1,In-flight meal not included,7832,21,3,12
2090,Jet Airways,Kolkata,Banglore,1430,1,In-flight meal not included,8586,21,5,8
2091,Air India,Delhi,Cochin,170,0,No info,6094,27,4,5
2092,Jet Airways,Delhi,Cochin,810,2,No info,13292,24,6,5
2094,Multiple carriers,Delhi,Cochin,660,1,No info,9718,27,5,10
2095,Jet Airways,Banglore,New Delhi,1365,1,In-flight meal not included,7412,21,3,9
2096,Air India,Delhi,Cochin,1275,2,No info,10441,6,6,22
2097,IndiGo,Delhi,Cochin,890,1,No info,14871,3,3,11
2098,Jet Airways,Delhi,Cochin,660,1,No info,15554,18,5,8
2099,Jet Airways,Banglore,New Delhi,305,1,No info,36235,1,3,14
2100,IndiGo,Mumbai,Hyderabad,90,0,No info,3175,24,3,17
2101,SpiceJet,Chennai,Kolkata,140,0,No info,3597,24,5,18
2102,SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,1965,27,6,13
2103,Multiple carriers,Delhi,Cochin,540,1,No info,12717,24,6,10
2104,IndiGo,Delhi,Cochin,195,0,No info,6015,3,6,14
2105,Air Asia,Banglore,New Delhi,165,0,No info,5615,9,3,23
2106,Multiple carriers,Delhi,Cochin,395,1,No info,7845,27,3,19
2107,Jet Airways,Kolkata,Banglore,1525,1,In-flight meal not included,10844,9,6,21
2108,Jet Airways,Banglore,New Delhi,460,1,No info,27210,15,3,21
2109,IndiGo,Kolkata,Banglore,150,0,No info,4174,6,4,14
2110,Multiple carriers,Delhi,Cochin,780,1,No info,6883,21,3,8
2111,Multiple carriers,Delhi,Cochin,720,1,No info,6883,21,3,9
2112,Jet Airways,Kolkata,Banglore,435,1,No info,8355,21,5,10
2113,SpiceJet,Banglore,New Delhi,170,0,No check-in baggage included,5469,24,3,20
2114,Jet Airways,Banglore,Delhi,165,0,In-flight meal not included,6478,27,6,6
2115,Vistara,Banglore,New Delhi,160,0,No info,11913,3,3,20
2116,IndiGo,Delhi,Cochin,415,1,No info,7006,21,5,19
2117,Jet Airways,Kolkata,Banglore,365,1,No info,12681,1,4,16
2118,Jet Airways,Delhi,Cochin,1195,2,No info,15129,21,5,23
2119,Multiple carriers,Delhi,Cochin,420,1,No info,13587,15,6,14
2120,Jet Airways,Delhi,Cochin,1425,1,No info,14714,1,6,19
2121,IndiGo,Banglore,New Delhi,290,1,No info,6220,3,3,7
2122,Jet Airways,Delhi,Cochin,330,1,In-flight meal not included,10262,6,6,7
2123,Air India,Kolkata,Banglore,545,1,No info,8576,12,5,9
2124,Jet Airways,Kolkata,Banglore,1495,1,In-flight meal not included,10031,24,3,20
2125,Jet Airways,Delhi,Cochin,1430,2,No info,12819,24,6,19
2126,GoAir,Delhi,Cochin,370,1,No info,5052,15,4,7
2127,Jet Airways,Banglore,New Delhi,1455,1,No info,22270,1,3,8
2128,Vistara,Banglore,Delhi,160,0,No info,5613,27,4,7
2129,SpiceJet,Kolkata,Banglore,145,0,No info,3873,1,4,9
2130,IndiGo,Delhi,Cochin,195,0,No info,6015,15,5,6
2131,Jet Airways,Kolkata,Banglore,330,1,In-flight meal not included,10844,9,6,6
2132,SpiceJet,Mumbai,Hyderabad,90,0,No info,2227,12,5,13
2133,Jet Airways,Banglore,Delhi,180,0,No info,7229,1,4,20
2134,Jet Airways,Delhi,Cochin,810,2,In-flight meal not included,10368,6,6,5
2135,Jet Airways,Delhi,Cochin,655,1,In-flight meal not included,12898,21,5,17
2136,Multiple carriers,Delhi,Cochin,720,1,No info,12192,12,6,7
2137,Jet Airways,Kolkata,Banglore,840,1,No info,12121,9,5,10
2138,Air India,Delhi,Cochin,1490,2,No info,16163,27,5,7
2139,Jet Airways,Banglore,New Delhi,760,1,No info,12284,18,3,6
2140,IndiGo,Banglore,Delhi,165,0,No info,5780,21,6,19
2141,Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,4995,9,5,10
2142,IndiGo,Delhi,Cochin,295,1,No info,6496,9,6,5
2143,Air India,Delhi,Cochin,1855,2,No info,12488,12,6,12
2144,IndiGo,Banglore,Delhi,175,0,No info,4823,15,5,7
2145,SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,2647,18,6,6
2146,IndiGo,Banglore,New Delhi,170,0,No info,12649,3,3,13
2147,Multiple carriers,Delhi,Cochin,455,1,No info,8266,12,6,12
2148,Vistara,Delhi,Cochin,190,0,No info,6216,15,5,6
2149,IndiGo,Banglore,Delhi,165,0,No info,4423,1,4,1
2150,Jet Airways,Banglore,New Delhi,1455,1,No info,17996,6,3,8
2151,SpiceJet,Delhi,Cochin,270,1,No check-in baggage included,5726,15,4,9
2152,Multiple carriers,Delhi,Cochin,570,1,No info,15147,6,3,6
2153,Jet Airways,Delhi,Cochin,1325,1,No info,15554,18,5,21
2154,Jet Airways,Delhi,Cochin,1760,2,No info,12819,24,6,23
2155,Multiple carriers,Delhi,Cochin,450,1,No info,7198,27,6,18
2156,IndiGo,Delhi,Cochin,300,1,No info,5073,3,4,16
2157,IndiGo,Banglore,Delhi,180,0,No info,3943,27,6,21
2158,Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,3205,27,3,7
2159,SpiceJet,Banglore,Delhi,160,0,No check-in baggage included,3257,12,5,6
2160,IndiGo,Kolkata,Banglore,155,0,No info,4804,3,6,22
2161,IndiGo,Banglore,New Delhi,285,1,No info,10231,9,3,17
2162,Jet Airways,Delhi,Cochin,450,1,In-flight meal not included,12898,21,5,21
2163,IndiGo,Mumbai,Hyderabad,85,0,No info,2227,21,3,21
2164,Air India,Kolkata,Banglore,1390,2,No info,9258,1,4,12
2165,Jet Airways,Kolkata,Banglore,1010,1,In-flight meal not included,9663,24,5,16
2166,Jet Airways,Mumbai,Hyderabad,85,0,No info,8040,21,5,7
2167,GoAir,Banglore,Delhi,165,0,No info,3419,6,6,21
2168,Jet Airways,Banglore,Delhi,180,0,No info,8016,1,6,7
2169,Jet Airways,Banglore,Delhi,180,0,No info,7229,6,4,18
2170,GoAir,Delhi,Cochin,540,1,No info,4959,6,6,11
2171,Air India,Kolkata,Banglore,1390,2,No info,10151,9,6,12
2172,Air India,Delhi,Cochin,2280,3,No info,10703,18,5,5
2173,Jet Airways,Kolkata,Banglore,590,1,In-flight meal not included,10844,9,6,8
2174,IndiGo,Delhi,Cochin,370,1,No info,7205,6,3,16
2175,Jet Airways,Banglore,New Delhi,570,1,No info,12284,18,3,9
2176,Jet Airways,Kolkata,Banglore,750,1,In-flight meal not included,13994,9,6,10
2177,IndiGo,Delhi,Cochin,195,0,No info,6015,15,4,14
2178,IndiGo,Kolkata,Banglore,255,1,No info,4226,3,4,6
2179,Jet Airways,Delhi,Cochin,1420,2,No info,9483,21,3,19
2180,Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,5198,15,5,7
2181,Jet Airways,Delhi,Cochin,810,2,In-flight meal not included,10368,27,6,5
2182,Vistara,Chennai,Kolkata,140,0,No info,11982,3,6,18
2183,Air India,Banglore,New Delhi,1510,1,No info,8032,15,3,12
2184,Air India,Kolkata,Banglore,150,0,No info,5510,15,5,14
2185,IndiGo,Delhi,Cochin,305,1,No info,8177,9,5,23
2186,Air Asia,Delhi,Cochin,340,1,No info,11410,1,6,17
2187,GoAir,Delhi,Cochin,350,1,No info,9385,21,3,7
2188,Jet Airways,Delhi,Cochin,540,1,In-flight meal not included,10262,6,6,10
2189,SpiceJet,Kolkata,Banglore,145,0,No info,3873,18,6,9
2190,Multiple carriers,Delhi,Cochin,430,1,No info,11999,21,3,12
2191,Jet Airways,Delhi,Cochin,1095,2,No info,14300,27,6,18
2192,SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,2175,12,5,13
2193,Air India,Delhi,Cochin,1490,2,No info,14431,9,5,7
2194,Jet Airways,Banglore,Delhi,165,0,No info,7229,21,5,6
2195,IndiGo,Kolkata,Banglore,265,1,No info,3809,24,5,19
2196,Multiple carriers,Delhi,Cochin,705,1,No info,7354,24,6,7
2197,Multiple carriers,Delhi,Cochin,450,1,No info,12537,27,3,8
2198,Air India,Delhi,Cochin,375,1,No info,9719,27,5,13
2199,Jet Airways,Mumbai,Hyderabad,90,0,No info,8040,24,5,10
2200,Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,4995,24,5,7
2201,IndiGo,Banglore,Delhi,170,0,No info,4591,6,4,23
2202,Air India,Kolkata,Banglore,1700,1,No info,7662,6,6,17
2203,IndiGo,Chennai,Kolkata,140,0,No info,3850,24,6,8
2204,IndiGo,Delhi,Cochin,835,1,No info,6442,3,6,9
2205,IndiGo,Delhi,Cochin,305,1,No info,11378,3,6,23
2206,Multiple carriers,Delhi,Cochin,630,1,No info,13377,27,6,15
2207,Jet Airways,Kolkata,Banglore,740,1,In-flight meal not included,10844,21,5,8
2208,Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,4995,9,5,7
2209,Air India,Delhi,Cochin,970,2,No info,6057,27,3,17
2210,Air India,Banglore,Delhi,165,0,No info,5176,6,4,10
2211,Jet Airways,Delhi,Cochin,1125,2,No info,13014,9,6,10
2212,IndiGo,Banglore,New Delhi,260,1,No info,7917,1,3,16
2213,SpiceJet,Delhi,Cochin,315,1,No info,5583,9,6,6
2214,Jet Airways,Banglore,Delhi,165,0,No info,7229,9,4,6
2215,IndiGo,Delhi,Cochin,570,1,No info,7191,18,5,16
2216,Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,3210,12,6,20
2217,IndiGo,Delhi,Cochin,635,1,No info,14871,6,3,15
2218,Multiple carriers,Delhi,Cochin,645,1,No info,8099,15,5,8
2219,Air India,Kolkata,Banglore,545,1,No info,8366,21,5,9
2220,IndiGo,Chennai,Kolkata,140,0,No info,6297,9,3,22
2221,Multiple carriers,Delhi,Cochin,480,1,No info,18286,3,3,13
2222,Jet Airways,Delhi,Cochin,1240,1,No info,17024,6,3,23
2223,Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,6144,24,4,7
2224,Multiple carriers,Delhi,Cochin,825,1,No info,13941,9,3,6
2225,Jet Airways,Banglore,Delhi,185,0,In-flight meal not included,3702,9,5,19
2226,SpiceJet,Delhi,Cochin,315,1,No info,5583,15,5,6
2227,Air India,Mumbai,Hyderabad,810,1,No info,10208,12,3,20
2228,Jet Airways,Kolkata,Banglore,505,1,In-flight meal not included,12384,6,5,10
2229,Air India,Kolkata,Banglore,1165,2,No info,17049,6,5,10
2230,IndiGo,Delhi,Cochin,810,1,No info,7006,24,5,7
2231,Air India,Kolkata,Banglore,875,2,No info,12723,12,6,6
2232,Jet Airways,Delhi,Cochin,1225,1,In-flight meal not included,10577,12,6,8
2233,Jet Airways,Banglore,New Delhi,730,1,No info,16736,6,3,7
2234,Jet Airways,Delhi,Cochin,925,1,In-flight meal not included,10262,24,6,13
2235,Multiple carriers,Delhi,Cochin,470,1,No info,7155,24,6,11
2236,Multiple carriers,Delhi,Cochin,915,1,No info,15147,3,3,10
2237,IndiGo,Banglore,Delhi,175,0,No info,4823,12,6,7
2238,Air India,Banglore,New Delhi,410,1,No info,8714,15,3,9
